date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-01-01,5193.6,63,156,62,1,2092.96,38.97,18.86
2021-01-02,24165.6,84,182,79,2,2784.74,31.48,26.2
2021-01-03,18824.4,118,231,97,3,3458.53,27.310000000000002,23.029999999999998
2021-01-04,109720.8,152,218,77,7,5134.129999999999,26.650000000000002,22.45
2021-01-05,140181.6,181,164,47,4,5150.21,41.007727,30.962273000000003
2021-01-06,95468.40000000001,163,180,61,3,4678.199999999999,68.41999999999999,27.84
2021-01-07,100134.0,166,188,48,4,5190.4,67.89,28.03
2021-01-08,127340.4,141,157,45,12,4698.650000000001,83.760548,28.419453
2021-01-09,76843.2,118,165,34,4,3697.2999999999997,135.42884300000003,59.071157
2021-01-10,43868.4,152,211,63,7,5154.24,153.77999999999997,42.67
2021-01-11,159318.6,187,204,72,22,8006.460000000001,224.75,73.63
2021-01-12,149245.2,212,256,44,32,8824.150000000001,501.5974989999999,130.322501
2021-01-13,142819.19999999998,204,253,50,34,6993.24,546.19,185.11
2021-01-14,128692.4,179,232,68,34,5529.529999999999,496.037105,183.762897
2021-01-15,131268.0,136,224,50,22,4452.0199999999995,334.783028,124.426973
2021-01-16,99434.40000000001,89,207,58,21,3233.0,257.690476,120.419525
2021-01-17,49069.2,126,215,62,14,3801.17,287.2,140.95
2021-01-18,128786.40000000002,228,204,66,20,6850.16,356.85999999999996,171.23999999999998
2021-01-19,127944.0,232,293,78,10,6262.610000000001,394.69211700000005,122.627883
2021-01-20,153428.95683020685,210,251,90,20,5910.790000000001,422.15000000000003,204.25
2021-01-21,124983.6,222,271,71,9,6515.709999999999,483.081913,185.60808699999998
2021-01-22,116620.80000000003,157,266,60,8,4933.9800000000005,635.4599999999999,205.70000000000002
2021-01-23,82438.8,125,276,59,5,3912.23,644.05,248.36999999999998
2021-01-24,31797.6,129,284,68,7,4076.01,587.9200000000001,182.01
2021-01-25,149679.56762136458,224,149,29,12,6428.17,114.10999999999999,60.5
2021-01-26,184369.2,208,210,55,21,6120.31,54.29,21.96
2021-01-27,185432.72346305393,207,273,42,23,7942.66,1435.905535,496.314465
2021-01-28,131664.38120814835,235,245,46,35,12353.619999999999,1746.8846330000001,501.885367
2021-01-29,242513.62211481293,224,279,54,20,9954.6,2456.3100000000004,628.2
2021-01-30,156568.80000000002,143,260,60,12,5803.410000000001,2827.6880690000003,952.281931
2021-01-31,84814.3119465779,137,373,64,22,6118.83,2700.017917,683.722083
2021-02-01,214791.86030310305,231,308,67,22,9443.650000000001,1052.52,228.0
2021-02-02,169840.03863662103,217,357,74,42,9190.99,993.24,248.25
2021-02-03,202840.85838960813,218,322,45,23,9188.09,2153.220711,489.53928899999994
2021-02-04,152170.17696358004,182,283,39,27,8145.260000000002,2983.911923,610.2680780000001
2021-02-05,178754.16136366292,158,267,47,21,6726.139999999999,3755.0722800000003,763.52772
2021-02-06,96775.20000000001,124,230,30,14,4823.959999999999,2610.94,426.07
2021-02-07,80450.18603230268,133,277,40,13,5131.74,2461.53,483.04
2021-02-08,162013.4916206402,187,268,51,25,7881.650000000001,2014.77,473.7
2021-02-09,201681.36074789846,207,303,70,22,7877.81,2122.03946,431.32054100000005
2021-02-10,219154.13420300095,201,266,65,21,7674.150000000001,2276.62,599.23
2021-02-11,166998.0171981369,176,301,73,14,9187.9,2732.0917539999996,611.818246
2021-02-12,125578.90628773367,175,276,82,7,10997.09,3169.7637859999995,845.416214
2021-02-13,55088.4,134,244,83,10,8750.649999999998,3515.04,1172.28
2021-02-14,64047.357693554084,142,277,63,7,9083.190000000002,3571.75,1219.98
2021-02-15,207205.2958962093,244,240,80,24,14010.800000000003,3504.7108229999994,1208.2691770000001
2021-02-16,186374.83879865357,216,270,68,10,12471.409999999998,3943.3844550000003,1245.125543
2021-02-17,217613.4104904405,186,293,67,13,7617.05,4656.610000000001,1688.1299999999999
2021-02-18,189604.73523845637,186,324,67,12,8177.43,5602.036053,1360.883947
2021-02-19,240430.44748257345,143,304,77,12,7765.76,6567.1799999999985,1719.09
2021-02-20,94296.03127861826,98,299,54,7,4794.25,6381.475275999999,2022.654724
2021-02-21,37263.600000000006,150,302,56,11,6689.380000000001,6085.710000000001,2185.2200000000003
2021-02-22,171744.40681978426,282,270,76,12,11893.929999999998,5829.452923,2514.337079
2021-02-23,176324.77772239153,243,231,65,8,10899.73,5796.016862,2737.783138
2021-02-24,203379.6,241,218,44,12,12014.59,5677.520492,1986.289507
2021-02-25,196664.13032653162,223,218,57,9,11349.76,5228.202116,1630.177884
2021-02-26,204279.1942438188,175,224,41,11,9367.38,5323.429125,1472.440877
